bioproject_id,source,study_title,study_type,study_type_curation,target,target_curation,target_class,target_class_curation,chemistry,chemistry_curation,n_random,n_random_curation,n_rounds,n_rounds_curation,selection_format,selection_format_curation,counter_selection,counter_selection_curation
figshare:237466,figshare:237466,Schematics of systematic evolution of DNA aptamers against AGR2.,aptamer_selection,concordant,AGR2,concordant,protein,concordant,DNA aptamers,concordant,45 nucleotides,concordant,14 rounds of selections,concordant,bead-based and flow cytometry monitored SELEX,concordant,present,concordant
figshare:2428999,figshare:2428999,"Selection and Characterization of Aptamers against Salmonella typhimurium Using Whole-Bacterium Systemic
Evolution of Ligands by Exponential Enrichment (SELEX)",aptamer_selection,concordant,Salmonella typhimurium,concordant,whole bacterium,concordant,ssDNA,concordant,,not_stated,nine rounds of selection,concordant,whole-bacterium-based SELEX,concordant,,not_stated
figshare:24367699,figshare:24367699,Application of a novel in vitro selection technique to isolate and characterise high affinity DNA aptamers binding mammalian prion proteins,aptamer_selection,concordant,recombinant murine prion protein,concordant,prion protein,concordant,single-stranded DNA,concordant,,not_stated,eight rounds of selection,concordant,protein immobilisation/partitioning using nickel-complexed magnetic particles,concordant,,not_stated
figshare:24560508,figshare:24560508,"Functionally
Enhanced XNA Aptamers Discovered by Parallelized
Library Screening",aptamer_selection,concordant,receptor binding domain of the S1 protein from SARS-CoV-2 (S1-RBD),concordant,receptor binding domain of the spike glycoprotein,concordant,threomers (TNA),concordant,"20, 25, 30, or 40 nucleotides",concordant,single-round,concordant,parallelized library screening,concordant,present,concordant
figshare:2471755,figshare:2471755,"Aptamer-Based Viability
Impedimetric Sensor for Bacteria",aptamer_selection,concordant,live Salmonella typhimurium,concordant,bacteria,concordant,ssDNA,concordant,40 nucleotides,single_source:claude,Twelve rounds of selection,concordant,cell-SELEX,concordant,present,concordant
figshare:2481958,figshare:2481958,"In Vitro Selection of
Highly Efficient G‑Quadruplex-Based DNAzymes",aptamer_selection,concordant,hemin,concordant,,not_stated,ssDNA,concordant,45 nucleotides,concordant,6 rounds of selection,concordant,hemin-agarose beads SELEX,concordant,,not_stated
figshare:2482003,figshare:2482003,"Aptamer-Based Impedimetric
Sensor for Bacterial Typing",aptamer_selection,concordant,Salmonella enteritidis,concordant,bacteria,concordant,ssDNA,concordant,40 nucleotides,single_source:claude,Twelve rounds of selection,concordant,Cell-SELEX,concordant,present,concordant
figshare:24969538,figshare:24969538,"Affinity-Guided Coevolution of Aptamers for Guanine,
Xanthine, Hypoxanthine, and Adenine",aptamer_selection,concordant,"guanine, xanthine, hypoxanthine, and adenine",concordant,purines,concordant,DNA,single_source:claude,N30 and N36,single_source:claude,10 rounds,concordant,capture-SELEX,concordant,present,single_source:codex
figshare:26509028,figshare:26509028,"Rapid Nuclease-Assisted
Selection of High-Affinity
Small-Molecule Aptamers",aptamer_selection,concordant,AB-FUBINACA,concordant,synthetic cannabinoid,concordant,DNA,single_source:claude,N30,single_source:claude,five rounds,concordant,nuclease-assisted SELEX (NA-SELEX),concordant,,not_stated
figshare:27201197,figshare:27201197,"Streamlining RNA Aptamer Selection via Unique Molecular
Identifiers and High-Throughput Sequencing",aptamer_selection,concordant,human colon cancer cell line HCT-8; mouse myoblast cell line C2C12,concordant,cell line,concordant,RNA aptamers,concordant,N40,single_source:codex,2 rounds (HCT-8); 1 round (C2C12),concordant,ID-SELEX,concordant,,not_stated
figshare:28161287,figshare:28161287,"Selection of
a Fluorinated Aptamer Targeting the Viral
RNA Frameshift Element with Different Chiralities",aptamer_selection,concordant,5'-Biotin labeled L-attenuator hairpin (L-RNA viral attenuator hairpin / frameshift element),concordant,RNA (viral RNA element with opposite chirality),concordant,2'-F-pyrimidine RNA (D-RNA with 2'-fluoro-modified UTP and CTP),concordant,,not_stated,nine rounds,concordant,In vitro SELEX,concordant,present,concordant
figshare:28785430,figshare:28785430,"T5 Exonuclease
Improves the Identification of Aptamers
Specific for Small Molecules from the Early Screening Library",aptamer_selection,concordant,5-hydroxymethylfurfural (5-HMF); patulin (PAT),concordant,small molecule,concordant,ssDNA,concordant,N30,concordant,9 rounds (5-HMF); 6 rounds (PAT),concordant,SELEX + T5 exonuclease digestion of early library,concordant,,not_stated
figshare:29236055,figshare:29236055,"High-Performance Selection of Small-Molecule Nucleic
Acid Aptamers and Their Applications",aptamer_selection,concordant,"Meperidine (MPD); also MDA, MA (methamphetamine), MDMA, and cocaine (multi-target screening)",concordant,small molecule,concordant,ssDNA,concordant,40 nucleotides,concordant,"six rounds (MPD single screening); seven rounds (multi-target: MDA, MA, MDMA, cocaine)",concordant,Capture-SELEX (magnetic bead-based),concordant,present,single_source:claude
figshare:29595120,figshare:29595120,"Enhanced
Glioblastoma-Targeted Aptamer Discovery by
3D Cell-SELEX with Hyaluronic Acid Hydrogel",aptamer_selection,concordant,U87MG glioblastoma (GBM) cells,concordant,cells (glioblastoma cell line),concordant,ssDNA,concordant,,not_stated,,not_stated,3D Cell-SELEX (hyaluronic acid hydrogel),concordant,present,concordant
figshare:29756624,figshare:29756624,Supplementary file 1_Design and development of an aptamer targeting C-type lectin-like molecule-1 as a biomarker for acute myeloid leukemia: a SELEX approach.zip,aptamer_selection,concordant,C-type lectin-like molecule-1 (CLL-1),concordant,protein (transmembrane glycoprotein / cell surface marker),concordant,ssDNA (76-nt library),concordant,,not_stated,eight rounds,single_source:claude,magnetic bead-based SELEX (protein-coupled magnetic beads),concordant,present,concordant
figshare:30423278,figshare:30423278,"Baited SELEX: Drug-Directed
Selection of Aptamers
to PSMA for <i>In Vivo</i> Targeting of Prostate Cancer
Xenografts in Mice",aptamer_selection,concordant,prostate-specific membrane antigen (PSMA) on LNCaP prostate cancer cells,concordant,whole cells (PSMA-expressing prostate cancer cell line),single_source:claude,modified DNA with phenolic-dT (compound 1) and naphthyl-dC (compound 2),concordant,N40,concordant,31 rounds of cell SELEX + 1 round whole-animal SELEX (32 total),concordant,Baited Cell-SELEX + whole-animal SELEX (FACS-based),concordant,present,concordant
figshare:31282718,figshare:31282718,"Wet–Dry–Wet
Experiments Enable Simultaneous
Aptamer Isolation and Critical Binding Domain Identification",aptamer_selection,concordant,rapamycin,concordant,small molecule (drug),single_source:claude,ssDNA,concordant,30 nt,concordant,19 (first Capture-SELEX) + 6 (second) = 25,adjudicated,Capture-SELEX (two phases: initial library then structure-confined secondary library),concordant,present,concordant
figshare:31335535,figshare:31335535,"Selection of
a High-Affinity Aptamer for Phalloidin
and Application in a Dual-Mode LRET/Colorimetric Aptasensor",aptamer_selection,concordant,phalloidin (PHD),concordant,a potent bicyclic peptide,single_source:codex,ssDNA,concordant,N10 and N20 (two random regions; 30 nt total within 97-nt library),concordant,15 rounds,concordant,Capture-SELEX,concordant,present,concordant
figshare:3155101,figshare:3155101,Monitoring the aptamer enrichment.,aptamer_selection,concordant,Estrogen Receptor Alpha (ERα),concordant,nuclear receptor protein,concordant,ssDNA,concordant,40-nt,concordant,nine rounds (positive selection),concordant,modified SELEX (polypropylene bead-immobilized target),concordant,present,concordant
figshare:3188482,figshare:3188482,"Selection and Characterization of Aptamers Using a
Modified Whole Cell Bacterium SELEX for the Detection of <i>Salmonella
enterica</i> Serovar Typhimurium",aptamer_selection,concordant,Salmonella enterica serovar Typhimurium (ATCC14028) (whole cells),concordant,whole cells (bacteria),concordant,ssDNA,concordant,40-nt,single_source:claude,ten rounds,concordant,modified whole cell Bacterium SELEX,concordant,present,concordant
figshare:3239092,figshare:3239092,Non-SELEX Selection of Aptamers,aptamer_selection,adjudicated,recombinant human h-Ras protein,concordant,protein,concordant,ssDNA,concordant,,not_stated,three steps of NECEEM-based partitioning,concordant,non-SELEX selection (NECEEM-based partitioning; no PCR amplification between steps),concordant,,not_stated
figshare:3353293,figshare:3353293,In Vitro Evolution of Functional DNA Using Capillary Electrophoresis,aptamer_selection,concordant,"human myeloma IgE (monoclonal, kappa)",concordant,protein (immunoglobulin),single_source:claude,ssDNA,concordant,40-base random region,concordant,two rounds (sufficient for aptamer discovery); clones also obtained from 4th round,concordant,CE-SELEX (capillary electrophoresis-based SELEX),concordant,,not_stated
figshare:4675996,figshare:4675996,"Selection and Application of ssDNA Aptamers against
Clenbuterol Hydrochloride Based on ssDNA Library Immobilized SELEX",aptamer_selection,concordant,clenbuterol hydrochloride (CLB),concordant,small molecule (feed additive / β-agonist drug),single_source:claude,ssDNA,concordant,,not_stated,"16 rounds (abstract); SI Fig S1 compares PCR products at 16th and 17th selection rounds, suggesting ≥17 rounds total",concordant,"ssDNA library immobilized SELEX (magnetic bead-based, avidin-coated Fe3O4 beads)",concordant,,not_stated
figshare:5195515,figshare:5195515,"Multiplex Aptamer Discovery through Apta-Seq and Its
Application to ATP Aptamers Derived from Human-Genomic SELEX",aptamer_selection,adjudicated,ATP (adenosine triphosphate),concordant,small molecule (nucleotide),single_source:claude,RNA,concordant,,not_stated,,not_stated,human-genomic SELEX (in vitro selection from human genomic RNA pool),concordant,,not_stated
figshare:5430670,figshare:5430670,Identification of LAG3 high affinity aptamers by HT-SELEX and Conserved Motif Accumulation (CMA),aptamer_selection,concordant,"recombinant protein LAG3-IgG, a chimera-recombinant protein that contains the extracellular mouse LAG3 domain fused to human IgG2-Fc",concordant,immune-checkpoint receptor,concordant,RNA with 2'-fluoro-pyrimidines,concordant,31N-nucleotide,concordant,seven rounds,concordant,HT-SELEX,concordant,present,concordant
figshare:5430703,figshare:5430703,Proposed workflow to identify high affinity aptamers using HT-SELEX combined with Conserved Motif Accumulation (CMA).,aptamer_selection,concordant,"recombinant protein LAG3-IgG, a chimera-recombinant protein that contains the extracellular mouse LAG3 domain fused to human IgG2-Fc",concordant,immune-checkpoint receptor,concordant,RNA with 2'-fluoro-pyrimidines,concordant,31N-nucleotide,concordant,seven rounds,concordant,HT-SELEX,concordant,present,concordant
figshare:5430718,figshare:5430718,HT-SELEX Aptamer selection analysis.,aptamer_selection,concordant,"recombinant protein LAG3-IgG, a chimera-recombinant protein that contains the extracellular mouse LAG3 domain fused to human IgG2-Fc",concordant,immune-checkpoint receptor,concordant,RNA with 2'-fluoro-pyrimidines,concordant,31N-nucleotide,concordant,seven rounds,concordant,HT-SELEX,concordant,present,concordant
figshare:5430736,figshare:5430736,Analysis of conserved sequence motifs in LAG3 aptamers.,aptamer_selection,concordant,"recombinant protein LAG3-IgG, a chimera-recombinant protein that contains the extracellular mouse LAG3 domain fused to human IgG2-Fc",concordant,immune-checkpoint receptor,concordant,RNA with 2'-fluoro-pyrimidines,concordant,31N-nucleotide,concordant,seven rounds,concordant,HT-SELEX,concordant,present,concordant
figshare:5430751,figshare:5430751,Binding affinity and specificity of LAG3 aptamers.,aptamer_selection,concordant,"recombinant protein LAG3-IgG, a chimera-recombinant protein that contains the extracellular mouse LAG3 domain fused to human IgG2-Fc",concordant,immune-checkpoint receptor,concordant,RNA with 2'-fluoro-pyrimidines,concordant,31N-nucleotide,concordant,seven rounds,concordant,HT-SELEX,concordant,present,concordant
figshare:5430784,figshare:5430784,LAG3 Apt1 binds to LAG3-expressing cells.,aptamer_selection,concordant,"recombinant protein LAG3-IgG, a chimera-recombinant protein that contains the extracellular mouse LAG3 domain fused to human IgG2-Fc",concordant,immune-checkpoint receptor,concordant,RNA with 2'-fluoro-pyrimidines,concordant,31N-nucleotide,concordant,seven rounds,concordant,HT-SELEX,concordant,present,concordant
figshare:5430796,figshare:5430796,LAG3 Apt1 enhances T-cell activation in vitro.,aptamer_selection,concordant,"recombinant protein LAG3-IgG, a chimera-recombinant protein that contains the extracellular mouse LAG3 domain fused to human IgG2-Fc",concordant,immune-checkpoint receptor,concordant,RNA with 2'-fluoro-pyrimidines,concordant,31N-nucleotide,concordant,seven rounds,concordant,HT-SELEX,concordant,present,concordant
figshare:6023456,figshare:6023456,Genomic SELEX RNA Pol II binding RNAs.,aptamer_selection,concordant,complete purified yeast RNA Pol II 12 subunit complex,concordant,RNA polymerase,concordant,RNA (transcribed from genomic DNA fragments),concordant,fragments of 30–400 bp,single_source:codex,six rounds,concordant,Genomic SELEX,concordant,,not_stated
figshare:7018646,figshare:7018646,"Novel Method for Structure–Activity Relationship
of Aptamer Sequences for Human Prostate Cancer",aptamer_selection,adjudicated,PCa cell line PCa-3M-1E8 (highly metastatic tumor cell),concordant,cells,concordant,ssDNA,concordant,40 ± 2 nucleotides,single_source:claude,12 rounds,single_source:claude,cell-SELEX,concordant,present,concordant
figshare:7069022,figshare:7069022,"Magnetic Separation-Based Multiple SELEX for Effectively
Selecting Aptamers against Saxitoxin, Domoic Acid, and Tetrodotoxin",aptamer_selection,concordant,"domoic acid (DA), saxitoxin (STX), and tetrodotoxin (TTX)",concordant,marine biotoxins,concordant,ssDNA,concordant,,not_stated,twelve initial rounds against mixed targets plus four respective rounds against each single target,concordant,magnetic separation-based multiple SELEX,concordant,,not_stated
figshare:7146335,figshare:7146335,"Competition-Enhanced Ligand Selection to Identify
DNA Aptamers",aptamer_selection,adjudicated,gold surface,concordant,nonbiological target,concordant,ssDNA,concordant,,not_stated,a final one-round competition experiment,single_source:codex,CompELS (Competition-Enhanced Ligand Screening),concordant,,not_stated
figshare:7228433,figshare:7228433,"In Vitro Selection and Characterization of a Single-Stranded
DNA Aptamer Against the Herbicide Atrazine",aptamer_selection,concordant,atrazine,concordant,herbicide,concordant,ssDNA,concordant,,not_stated,twelve rounds,concordant,Capture-SELEX combined with Decoy-SELEX,concordant,present,concordant
figshare:771228,figshare:771228,The STACS procedure.,aptamer_selection,concordant,murine c-kit receptor (expressed on BJAB c-kit cells),concordant,cell surface receptor,concordant,ssDNA,concordant,29 nucleotides,concordant,six rounds,concordant,STACS (Specific TArget Cell-SELEX),concordant,present,concordant
figshare:771239,figshare:771239,Development of an Efficient Targeted Cell-SELEX Procedure for DNA Aptamer Reagents,aptamer_selection,concordant,murine c-kit receptor (expressed on BJAB c-kit cells),concordant,cell surface receptor,concordant,ssDNA,concordant,29 nucleotides,concordant,six rounds,concordant,STACS (Specific TArget Cell-SELEX),concordant,present,concordant
figshare:7972784,figshare:7972784,NGS allows the identification of aptamer motifs and their evolution during SELEX.,aptamer_selection,concordant,"HMG-box Pf, the conserved domain of HMGB1 from Plasmodium falciparum",concordant,protein,concordant,ssDNA,concordant,40 randomized nucleotides,concordant,fourteen cycles,concordant,SELEX combined with next-generation sequencing (NGS),concordant,present,concordant
figshare:8118461,figshare:8118461,"High Affinity Aptamer for the Detection of the Biogenic
Amine Histamine",aptamer_selection,concordant,histamine,concordant,small molecule,concordant,DNA,concordant,,not_stated,ten rounds,concordant,classic SELEX employing magnetic beads for target immobilization,concordant,present,concordant
figshare:902248,figshare:902248,Sequence of TESA binding aptamers.,aptamer_selection,concordant,TESA (Trypanosoma cruzi Excreted-Secreted Antigens),concordant,crude protein extracts / complex mixture of parasite proteins,concordant,RNA with 2'-fluoro pyrimidines,concordant,80 nucleotides,concordant,10 rounds,concordant,SELEx on ELISA plate (plate-based),concordant,present,concordant
figshare:976460,figshare:976460,Cell-SELEX procedure implemented by ectopic expression of human soluble growth factors on yeast cell surface.,aptamer_selection,concordant,"PDGF-A, VEGF, IL-6",concordant,soluble growth factors / human serum proteins,concordant,DNA,concordant,60-nt variable region,concordant,4–10 rounds,concordant,cell-SELEX on yeast surface display,concordant,present,concordant
figshare:986154,figshare:986154,Systematic Evolution of Ligands by Exponential Enrichment (SELEX).,aptamer_selection,concordant,recombinant human E-selectin,concordant,protein,concordant,DNA (non-modified),concordant,50 nucleotides,concordant,17 rounds,concordant,SELEX on streptavidin-coated magnetic beads (Dynabeads),concordant,present,concordant
zenodo:1168878,zenodo:1168878,Antibody-Templated Assembly of an RNA Mimic of Green Fluorescent Protein,not_selex,concordant,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:13995669,zenodo:13995669,In silico Designed Aptamer for the Detection of Bacteria Leaf Blight Disease in Paddy by Targeting the Virulence Protein,method_or_other,concordant,toxoflavin virulence protein from Burkholderia glumae (ToxA),concordant,protein (virulence protein),concordant,RNA,single_source:claude,,not_stated,,not_stated,in silico designed aptamers,single_source:codex,,not_stated
zenodo:14272347,zenodo:14272347,Structure-enhanced Deep Learning Accelerates Aptamer Selection for Small Molecule Families like Steroids,aptamer_selection,concordant,hydrocortisone (cortisol),concordant,small molecule (steroid),concordant,ssDNA,single_source:claude,N12 or N8 (loop within a manually designed fixed stem-loop structure),single_source:claude,8 rounds,concordant,"SELEX (DL-SELEX, simplified standardized protocol with iterative rounds of qPCR, annealing, selection, and asPCR)",concordant,present,single_source:claude
zenodo:14272647,zenodo:14272647,Structure-enhanced Deep Learning Accelerates Aptamer Selection for Small Molecule Families like Steroids,aptamer_selection,concordant,hydrocortisone (cortisol),concordant,small molecule (steroid),concordant,ssDNA,single_source:claude,,not_stated,"rounds 3, 5, and 7 (NGS sequencing rounds for this AptaVAE-guided library)",concordant,"DL-SELEX (AptaVAE-guided SELEX with iterative rounds of qPCR, annealing, selection, and asPCR)",concordant,present,single_source:claude
zenodo:14272757,zenodo:14272757,Structure-enhanced Deep Learning Accelerates Aptamer Selection for Small Molecule Families like Steroids,aptamer_selection,concordant,testosterone,concordant,small molecule (steroid),concordant,ssDNA,single_source:claude,,not_stated,"rounds 3, 5, and 7 (NGS sequencing rounds for this AptaVAE-guided library)",concordant,"DL-SELEX (AptaVAE-guided SELEX with iterative rounds of qPCR, annealing, selection, and asPCR)",concordant,present,single_source:claude
zenodo:14598631,zenodo:14598631,Electrochemical Aptasensors for Antibiotics Detection: Recent Achievements and Applications for Monitoring Food Safety,not_selex,adjudicated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:14598734,zenodo:14598734,Smartphone-Addressable Paper-Based Devices for the Colorimetric Detection of Ampicillin Based on Salt-Induced Aggregation of Gold Nanoparticles,not_selex,adjudicated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:14599255,zenodo:14599255,Comparative Analysis of pH and Target-Induced Conformational Changes of an Oxytetracycline Aptamer in Solution Phase and Surface-Immobilized Form,not_selex,adjudicated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:14599416,zenodo:14599416,Developing a Sensitive Method for the Electrochemical Determination of Tetracycline Using MB-Tagged Aptamers on Gold Electrode Substrates,not_selex,adjudicated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:14689104,zenodo:14689104,"Three Properties of the Hepatitis C Virus RNA Genome Related to Antiviral Strategies Based on RNA-Therapeutics: Variability, Structural Conformation and tRNA Mimicry",not_selex,concordant,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:15555251,zenodo:15555251,MEX-Archipelago data,tf_ht_selex,concordant,multiple human transcription factors (139 TFs in this deposit; 394 in full Codebook),concordant,transcription factors / DNA-binding proteins,concordant,,not_stated,,not_stated,,not_stated,HT-SELEX and genomic HT-SELEX (GHT-SELEX),concordant,,not_stated
zenodo:15619991,zenodo:15619991,Codebook MEX Supplementary Dataset 3,tf_ht_selex,concordant,331 poorly characterized putative human TFs,concordant,transcription factors,concordant,"fragmented, naked, and unmodified genomic DNA",single_source:claude,,not_stated,,not_stated,GHT-SELEX (Genomic HT-SELEX),concordant,,not_stated
zenodo:15620252,zenodo:15620252,Codebook MEX Supplementary Dataset 2,tf_ht_selex,concordant,331 poorly characterized putative human TFs,concordant,transcription factors,concordant,random-sequence DNA,single_source:claude,randomized 40 bases,single_source:claude,,not_stated,HT-SELEX,concordant,,not_stated
zenodo:15733619,zenodo:15733619,DEVELOPMENT OF FLUORESCENT METHODS TO DETERMINE DISSOCIATION CONSTANT FOR SINGLE STRANDED DNA BIOSENSORS,aptamer_selection,concordant,kavain,concordant,small molecule,concordant,ssDNA,concordant,,not_stated,14 rounds,concordant,SELEX,concordant,,not_stated
zenodo:15781226,zenodo:15781226,Data for TRAFICA model training and evaluation,method_or_other,concordant,,not_stated,TF-binding profiles,single_source:codex,,not_stated,,not_stated,,not_stated,HT-SELEX,single_source:codex,,not_stated
zenodo:15831294,zenodo:15831294,ON THE DEVELOPMENT OF A SSDNA – BASED BIOSENSOR FOR THE DETECTION OF R – (+) – KAVAIN,aptamer_selection,concordant,R-(+)-kavain,concordant,small molecule,concordant,ssDNA,concordant,N30,concordant,33 total rounds,concordant,SELEX,concordant,,not_stated
zenodo:17311531,zenodo:17311531,"Disposable electrochemical aptasensor for rapid and selective vancomycin detection in clinical samples: Bridging affinity selection, computational modeling and clinical validation",aptamer_selection,concordant,vancomycin,concordant,antibiotic,single_source:claude,,not_stated,,not_stated,,not_stated,magnetic bead-based SELEX,concordant,,not_stated
zenodo:18199595,zenodo:18199595,Assessing Molecular Dynamics in Predicting Aptamer–Ligand Binding Thermodynamics: Insights from the OTA Binding Aptamers,method_or_other,concordant,ochratoxin A,concordant,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:18719585,zenodo:18719585,"NGS data of rationally designed, structurally rich DNA aptamer screening libraries",method_or_other,concordant,,not_stated,,not_stated,DNA,concordant,a 40-nucleotide (N40) random segment,single_source:codex,,not_stated,,not_stated,,not_stated
zenodo:19109198,zenodo:19109198,Bioelectronical devices based on graphene FETs with aptamers for detection of small molecules and peptides,not_selex,concordant,Ochratoxin A (OTA),single_source:codex,small molecule,single_source:codex,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:19432013,zenodo:19432013,"Dataset for ""CompELS vs. SELEX: Comparative Aptamer Discovery Integrating Rational Libraries and Enzymatic Elution""",aptamer_selection,concordant,,not_stated,,not_stated,DNA,single_source:claude,,not_stated,up to 14 rounds (SELEX arm); up to 2 rounds (CompELS arm),concordant,SELEX; CompELS (Comparative Enzymatic Library Selection),concordant,,not_stated
zenodo:19547634,zenodo:19547634,Surface plasmon resonance assay for screening diverse aptamer-target interactions,not_selex,concordant,flavin mononucleotide (FMN),single_source:codex,small molecule,single_source:codex,RNA aptamer,single_source:codex,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:4450582,zenodo:4450582,Cyp33 RNA SELEX,aptamer_selection,concordant,full-length Cyp33,concordant,protein,single_source:claude,RNA,concordant,50 nucleotides,single_source:claude,15 rounds,single_source:claude,RNA-SELEX,concordant,present,single_source:claude
zenodo:4938913,zenodo:4938913,Data from: Protein-mediated RNA folding governs sequence-specific interactions between rotavirus genome segments,aptamer_selection,adjudicated,S11 RNA (rotavirus segment 11 ssRNA),concordant,viral ssRNA,concordant,RNA,concordant,N30 (30 nucleotides),concordant,,not_stated,RNA-RNA SELEX,concordant,present,concordant
zenodo:53137,zenodo:53137,Surface state of the dopamine RNA aptamer affects specific recognition and binding of dopamine by the aptamer-modified electrodes,not_selex,concordant,dopamine,single_source:codex,neurotransmitter,single_source:codex,RNA aptamer,single_source:codex,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:5707360,zenodo:5707360,Nucleic Acids Aptamer Application in Diagnosis and Therapy of Cancer  Based on Cell-SELEX Technology,not_selex,adjudicated,,not_stated,,not_stated,RNA or DNA,single_source:codex,,not_stated,,not_stated,Cell-SELEX,single_source:codex,,not_stated
zenodo:6332928,zenodo:6332928,Novel electrochemiluminescent assay for the aptamer-based detection of testosterone,not_selex,adjudicated,testosterone,single_source:claude,small molecules,single_source:claude,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:6341687,zenodo:6341687,"Data for ""Generative and interpretable machine learning for aptamer design and analysis of in vitro sequence selection""",aptamer_selection,concordant,thrombin protein,concordant,protein,concordant,DNA,concordant,two loops of 20 nucleotides each,concordant,eight selection rounds,concordant,SELEX,concordant,,not_stated
zenodo:6587005,zenodo:6587005,Combinatorial bZIP dimers display complex DNA-binding specificity landscapes,tf_ht_selex,concordant,"bZIP proteins (36 representative bZIP proteins from 21 families, 270 dimer combinations)",concordant,transcription factors,concordant,DNA,concordant,20 bp,concordant,three rounds,concordant,HT-SELEX,concordant,present,single_source:claude
zenodo:6958314,zenodo:6958314,DNA aptamers for the recognition of HMGB1 from Plasmodium falciparum,aptamer_selection,concordant,HMG-box domain of HMGB1 from Plasmodium falciparum,concordant,protein,concordant,ssDNA,concordant,40 randomized nucleotides,concordant,fourteen SELEX cycles,concordant,SELEX,concordant,present,concordant
zenodo:7350428,zenodo:7350428,Experimental investigation of aptamer-mycotoxin interaction on graphene field-effect transistor biosensor,not_selex,adjudicated,Ochratoxin A,single_source:claude,mycotoxin,single_source:claude,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:7572933,zenodo:7572933,Aptamers at work – effective neutralization of SARS-CoV-2 and identifying protein biomarkers in biofluids using highly parallelized RNA aptamer screens.,method_or_other,concordant,,not_stated,,not_stated,RNA,single_source:claude,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:7573218,zenodo:7573218,"Aptamer-based blood profiling for diagnosis, treatment evaluation and disease severity prediction",method_or_other,concordant,,not_stated,,not_stated,2'-fluoro protected RNA aptamers,single_source:claude,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:7629808,zenodo:7629808,"Preliminary  results, oDIN oLIVER project February 2023, Laborotory of Jørgen Kjems, Aarhus University",method_or_other,concordant,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:7922963,zenodo:7922963,DEEP LEARNING-BASED SEQUENCE GENERATION OF SINGLE-STRANDED DNA APTAMERS,method_or_other,concordant,,not_stated,,not_stated,ssDNA,single_source:claude,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:7991884,zenodo:7991884,__RNA-aptamer-tetracyclin-binding-site_structure_MD_GEC_31-05-2023.png,not_selex,concordant,tetracycline,single_source:claude,,not_stated,RNA,single_source:claude,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:8106594,zenodo:8106594,Raw data of high-dimensional aptamer selection generated by ProSELEX,aptamer_selection,concordant,human myeloperoxidase,concordant,protein,concordant,DNA,single_source:codex,50N,single_source:codex,one round,concordant,Pro-SELEX,concordant,,not_stated
zenodo:8330867,zenodo:8330867,Mechanism of ligand binding to theophylline RNA aptamer,not_selex,concordant,theophylline,single_source:claude,,not_stated,RNA,single_source:claude,,not_stated,,not_stated,,not_stated,,not_stated
zenodo:8387047,zenodo:8387047,UTexas Aptamer Dataset,method_or_other,concordant,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated,,not_stated
PRJEB114397,ena,"This study identifies an aptamer that selectively binds to perfluorooctanoic acid (PFOA). Upon binding, the aptamer produces fluorescence, which can be used to detect and provide semi-quantitative measurements of PFOA in water matrices.",aptamer_selection,concordant,perfluorooctanoic acid (PFOA),concordant,"toxic, bioaccumulative chemical",concordant,,not_stated,,not_stated,30 rounds of selection,concordant,Aptamer SELEX,concordant,present,concordant
PRJNA1481083,ena,High-throughput automated SELEX for aptamer discovery against 96 protein targets (GEO GSE336208),aptamer_selection,concordant,96 protein targets,concordant,protein,concordant,random ssDNA libraries,concordant,,not_stated,5 rounds of preliminary screening followed by 2 rounds of secondary screening,concordant,high-throughput automated SELEX,concordant,,not_stated
